symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2016-11-04 00:00:00+00:00,67.57,68.7305,66.575,67.51,8219490,66.6288202659,67.7731557094,65.6476795797,66.5696560034,8219490,0.0,1.0
NVDA,2016-11-07 00:00:00+00:00,71.27,71.72,69.5,69.55,12189524,70.277283119,70.7210150876,68.5319373757,68.5812409278,12189524,0.0,1.0
NVDA,2016-11-08 00:00:00+00:00,71.16,71.77,70.5,71.54,10747107,70.1688153044,70.7703186396,69.5180084171,70.5435223001,10747107,0.0,1.0
NVDA,2016-11-09 00:00:00+00:00,69.96,70.9,68.72,69.23,11413254,68.9855300547,69.9124368336,67.7628019634,68.2656981945,11413254,0.0,1.0
NVDA,2016-11-10 00:00:00+00:00,67.77,71.5,66.76,71.49,21732039,66.8260344741,70.5040794585,65.8301027223,70.4942187481,21732039,0.0,1.0
NVDA,2016-11-11 00:00:00+00:00,87.97,88.77,78.5,79.51,54383633,86.74466951,87.5335263431,77.4065767481,78.4025084999,54383633,0.0,1.0
NVDA,2016-11-14 00:00:00+00:00,83.64,88.19,83.62,88.09,33719913,82.4749819008,86.9616051391,82.45526048,86.8629980349,33719913,0.0,1.0
NVDA,2016-11-15 00:00:00+00:00,86.19,87.45,83.93,84.29,15652258,84.9894630563,86.2319125684,82.7609425028,83.1159280777,15652258,0.0,1.0
NVDA,2016-11-16 00:00:00+00:00,91.63,92.555,86.3452,87.34,24699644,90.3536895214,91.2658052347,85.1425012819,86.1234447539,24699644,0.0,1.0
NVDA,2016-11-17 00:00:00+00:00,92.39,94.7923,90.65,92.31,20824744,91.1031035128,93.4719419755,89.3873399008,91.0242178295,20824744,0.0,1.0
NVDA,2016-11-18 00:00:00+00:00,93.36,94.33,91.8,94.2248,14401499,92.059592423,93.0160813331,90.5213215984,92.9123466596,14401499,0.0,1.0
NVDA,2016-11-21 00:00:00+00:00,92.98,94.35,92.4,94.09,10910868,91.6848854273,93.0358027539,91.1129642233,92.7794242832,10910868,0.0,1.0
NVDA,2016-11-22 00:00:00+00:00,93.65,93.7396,92.38,93.3,8259232,92.345553025,92.4339049903,91.0932428024,92.0004281605,8259232,0.0,1.0
NVDA,2016-11-23 00:00:00+00:00,93.97,95.2499,92.77,93.72,11080857,92.799145704,94.0630983121,91.614097552,92.5522606723,11080857,0.14,1.0
NVDA,2016-11-25 00:00:00+00:00,94.16,95.1,93.41,93.47,4889078,92.9867783281,93.9150660472,92.2461232331,92.3053756407,4889078,0.0,1.0
NVDA,2016-11-28 00:00:00+00:00,94.11,94.74,93.6,93.87,6968370,92.9374013217,93.5595516016,92.4337558571,92.7003916913,6968370,0.0,1.0
NVDA,2016-11-29 00:00:00+00:00,93.25,94.44,92.53,94.0,11114187,92.0881168128,93.2632895635,91.3770879216,92.8287719078,11114187,0.0,1.0
